date,portfolio_return,portfolio_value,weight_WTI,weight_XLE,weight_XOM,weight_CVX,weight_IEF
2002-07-31,0.014237142527255761,1.0142371425272558,0.2,0.2,0.2,0.2,0.2
2002-08-01,-0.04535037956260922,0.9682411031471486,0.2,0.2,0.2,0.2,0.2
2002-08-02,0.0025117889055524603,0.9706731204079334,0.2,0.2,0.2,0.2,0.2
2002-08-05,-0.023124034642596263,0.9482272415449834,0.2,0.2,0.2,0.2,0.2
2002-08-06,0.02256305564054674,0.969622145555845,0.2,0.2,0.2,0.2,0.2
2002-08-07,0.007665100051234181,0.977054396313423,0.2,0.2,0.2,0.2,0.2
2002-08-08,0.02568010474964238,1.0021452555568504,0.2,0.2,0.2,0.2,0.2
2002-08-09,0.0109588835421369,1.0131276487048029,0.2,0.2,0.2,0.2,0.2
2002-08-12,0.00388364707433772,1.0170622789336259,0.2,0.2,0.2,0.2,0.2
2002-08-13,-0.005549338617083321,1.0114182559531608,0.2,0.2,0.2,0.2,0.2
2002-08-14,0.023101138893475242,1.0347831695633312,0.2,0.2,0.2,0.2,0.2
2002-08-15,0.01782222121025552,1.053225304115938,0.2,0.2,0.2,0.2,0.2
2002-08-16,-0.00667219567529694,1.0461979787967024,0.2,0.2,0.2,0.2,0.2
2002-08-19,0.00680928782629512,1.0533218419576174,0.2,0.2,0.2,0.2,0.2
2002-08-20,-0.010788901577669503,1.041957656275127,0.2,0.2,0.2,0.2,0.2
2002-08-21,-0.0005524737617628001,1.041382002009167,0.2,0.2,0.2,0.2,0.2
2002-08-22,0.00977729710376172,1.0515639032413209,0.2,0.2,0.2,0.2,0.2
2002-08-23,-0.00865180346792874,1.042465979016509,0.2,0.2,0.2,0.2,0.2
2002-08-26,0.01102233904235242,1.0539563924773467,0.2,0.2,0.2,0.2,0.2
2002-08-27,-0.0049973186653724,1.048689436524731,0.2,0.2,0.2,0.2,0.2
2002-08-28,-0.017406750671354144,1.0304351609714621,0.2,0.2,0.2,0.2,0.2
2002-08-29,-0.0004982381751049007,1.0299217588372958,0.2,0.2,0.2,0.2,0.2
2002-08-30,0.00391283582057496,1.0339516735876637,0.2,0.2,0.2,0.2,0.2
2002-09-03,-0.03627821286046078,0.9964417546858209,0.2,0.2,0.2,0.2,0.2
2002-09-04,0.00704706613472132,1.0034637456304896,0.2,0.2,0.2,0.2,0.2
2002-09-05,0.0050347742951671205,1.008515959103122,0.2,0.2,0.2,0.2,0.2
2002-09-06,0.01325675431345486,1.0218856073941505,0.2,0.2,0.2,0.2,0.2
2002-09-09,-0.00344090779181646,1.0183693932453228,0.2,0.2,0.2,0.2,0.2
2002-09-10,0.01322474681653928,1.0318370706367048,0.2,0.2,0.2,0.2,0.2
2002-09-11,-0.0052562933393590005,1.0264134323150134,0.2,0.2,0.2,0.2,0.2
2002-09-12,-0.01958492520150382,1.006311202017305,0.2,0.2,0.2,0.2,0.2
2002-09-13,0.01272992346354546,1.0191214665994937,0.2,0.2,0.2,0.2,0.2
2002-09-16,0.00462530430434002,1.0238352135056017,0.2,0.2,0.2,0.2,0.2
2002-09-17,-0.025078381482429902,0.9981590834461631,0.2,0.2,0.2,0.2,0.2
2002-09-18,0.00393470326437208,1.0020865432501616,0.2,0.2,0.2,0.2,0.2
2002-09-19,-0.0134610937278858,0.988597362368018,0.2,0.2,0.2,0.2,0.2
2002-09-20,0.0085782093886365,0.9970777575434645,0.2,0.2,0.2,0.2,0.2
2002-09-23,0.00237944462424368,0.9994502488536043,0.2,0.2,0.2,0.2,0.2
2002-09-24,-0.012375093144576401,0.987081958930671,0.2,0.2,0.2,0.2,0.2
2002-09-25,0.011336973169490502,0.9982724806151562,0.2,0.2,0.2,0.2,0.2
2002-09-26,0.024301053721716346,1.022531553795496,0.2,0.2,0.2,0.2,0.2
2002-09-27,-0.015729727649926202,1.006447410940837,0.2,0.2,0.2,0.2,0.2
2002-09-30,-0.01381448914148658,0.9915513102568067,0.2,0.2,0.2,0.2,0.2
2002-10-01,0.02720390993948922,1.0185253828014154,0.2,0.2,0.2,0.2,0.2
2002-10-02,-0.01281113443652858,1.0054769171953297,0.2,0.2,0.2,0.2,0.2
2002-10-03,0.0016074263263846796,1.0070931472626017,0.2,0.2,0.2,0.2,0.2
2002-10-04,-0.008916446457638501,0.9981134551371801,0.2,0.2,0.2,0.2,0.2
2002-10-07,-0.00197432886754568,0.996142850929617,0.2,0.2,0.2,0.2,0.2
2002-10-08,-0.009187341665341861,0.9869909462106389,0.2,0.2,0.2,0.2,0.2
2002-10-09,-0.0063844465131751415,0.9806895553055689,0.2,0.2,0.2,0.2,0.2
2002-10-10,0.01481034642703078,0.9952139073570152,0.2,0.2,0.2,0.2,0.2
2002-10-11,0.010917990631144943,1.0060796434735242,0.2,0.2,0.2,0.2,0.2
2002-10-14,0.013850681288013322,1.020014531965634,0.2,0.2,0.2,0.2,0.2
2002-10-15,0.01274875458404696,1.0330184469058254,0.2,0.2,0.2,0.2,0.2
2002-10-16,-0.01108281259170956,1.0215696970549895,0.2,0.2,0.2,0.2,0.2
2002-10-17,0.010326984543847218,1.032119431526939,0.2,0.2,0.2,0.2,0.2
