Date,WTI,XLE,XOM,CVX,IEF,SHY,SPY,FEDFUNDS,CPIAUCSL,INDPRO,UNRATE,T10Y2Y,DCOILWTICO,DGS10,VIXCLS,WTI_RETURN,XLE_RETURN,XOM_RETURN,CVX_RETURN,IEF_RETURN,SHY_RETURN,SPY_RETURN,FEDFUNDS_3M_CHANGE,FEDFUNDS_CHANGE,INFLATION_YOY,INDPRO_YOY
2002-07-30,27.360000610351562,11.770807266235352,16.60478401184082,14.962084770202637,41.46976852416992,52.40151596069336,59.177757263183594,1.73,180.0,90.6436,5.8,1.97,26.79,4.85,27.11,0.030052396110522364,-0.01565670994966245,-0.018334312307627696,-0.01872762460527243,,,0.012949518599109058,-0.020000000000000018,0.0,1.465614430665152,1.5783009395395453
2002-07-31,27.020000457763672,11.977777481079102,17.11220359802246,15.372004508972168,41.85013198852539,52.563194274902344,59.32090377807617,1.73,180.0,90.6436,5.8,1.97,26.79,4.85,27.11,-0.012504765588807289,0.017430550681734724,0.030101022349857287,0.02702864689215877,0.009130258301335452,0.003080624749213788,0.002416003409058649,-0.020000000000000018,0.0,1.465614430665152,1.5783009395395453
2002-08-01,26.469999313354492,11.271953582763672,15.664456367492676,14.459932327270508,42.022613525390625,52.66673278808594,57.77215576171875,1.74,180.5,90.5505,5.7,2.32,26.51,4.47,36.95,-0.02056535917522166,-0.0607353997037491,-0.08839764951415895,-0.06116642930172743,0.004112939881810916,0.0019678536227419447,-0.02645482741137447,-0.010000000000000009,0.010000000000000009,1.747463359639223,1.4739699132180872
2002-08-02,26.84000015258789,11.144588470458984,15.645838737487793,14.511167526245117,42.34716033935547,52.770206451416016,56.477176666259766,1.74,180.5,90.5505,5.7,2.32,26.51,4.47,36.95,0.013881327490082203,-0.011363615545407898,-0.0011892339012881947,0.0035369904938120566,0.00769347599056402,0.001962759869456401,-0.022670321648882955,-0.010000000000000009,0.0,1.747463359639223,1.4739699132180872
2002-08-05,26.579999923706055,10.730644226074219,15.129122734069824,13.949580192565918,42.56015396118164,52.85427474975586,54.51197814941406,1.74,180.5,90.5505,5.7,2.32,26.51,4.47,36.95,-0.009734267373826098,-0.03785044656977501,-0.033583442027948315,-0.03946911312667924,0.005017095885247225,0.0015918339221319712,-0.03541614365331233,-0.010000000000000009,0.0,1.747463359639223,1.4739699132180872
2002-08-06,27.170000076293945,11.118050575256348,15.548073768615723,14.464030265808105,42.21528244018555,52.72494125366211,56.347042083740234,1.74,180.5,90.5505,5.7,2.32,26.51,4.47,36.95,0.021954375831530166,0.03546637092466835,0.027315213317800905,0.03621548204821923,-0.008136163919484837,-0.0024499814581360117,0.03310928717034225,-0.010000000000000009,0.0,1.747463359639223,1.4739699132180872
2002-08-07,26.5,11.277262687683105,15.967047691345215,14.74687385559082,42.34716033935547,52.802555084228516,57.32966613769531,1.74,180.5,90.5505,5.7,2.32,26.51,4.47,36.95,-0.024968693254101386,0.014218581615606147,0.026590321671216298,0.019366222189212544,0.0031190680342374965,0.0014709691266178103,0.017288476136076435,-0.010000000000000009,0.0,1.747463359639223,1.4739699132180872
2002-08-08,26.670000076293945,11.754880905151367,16.758403778076172,15.281822204589844,42.20005798339844,52.72494125366211,59.184242248535156,1.74,180.5,90.5505,5.7,2.32,26.51,4.47,36.95,0.006394608062411713,0.0414800034308957,0.048372771324136254,0.035632912526130614,-0.0034797715953623683,-0.0014709691266177008,0.03183710483901786,-0.010000000000000009,0.0,1.747463359639223,1.4739699132180872
2002-08-09,26.860000610351562,11.96716022491455,16.913013458251953,15.48473072052002,42.5145149230957,52.73790740966797,59.40549087524414,1.74,180.5,90.5505,5.7,2.32,26.51,4.47,36.95,0.007098872763941571,0.01789769987727062,0.00918350217902049,0.013190392720308516,0.007423950170143549,0.0002458904957626744,0.0037313328495115357,-0.010000000000000009,0.0,1.747463359639223,1.5629731821393822
2002-08-12,27.860000610351562,11.940629005432129,16.73966407775879,15.382250785827637,42.60075378417969,52.73136901855469,58.96949768066406,1.74,180.5,90.5505,5.7,2.32,26.51,4.47,36.95,0.036553776440938546,-0.0022194632985846024,-0.010302354905269899,-0.006640125223140276,0.002026402357744789,-0.00012398664982035614,-0.007366339315769065,-0.010000000000000009,0.0,1.747463359639223,1.5629731821393822
