window,train_start,train_end,test_start,test_end,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown
1,2002-07,2007-08,2007-08,2008-08,10.945660496288756,10.945660496288756,19.449910238877465,0.6311315991535907,-14.48564828364424
2,2003-08,2008-08,2008-08,2009-08,-26.062894602927365,-26.062894602927365,42.35157746631563,-0.5003550522750291,-41.69204807834367
3,2004-08,2009-08,2009-08,2010-08,6.784873832285165,6.784873832285165,16.396968441966795,0.48209361311090276,-13.649967822324472
4,2005-08,2010-08,2010-08,2011-08,12.648612333977315,12.648612333977315,15.971406729041224,0.826053993421907,-17.229754673404944
5,2006-08,2011-08,2011-08,2012-08,16.923882083823717,16.923882083823717,18.33955871793444,0.9441658995353164,-12.462441997911279
6,2007-08,2012-08,2012-08,2013-08,7.567692608599597,7.567692608599597,10.652528032817704,0.7381278666046681,-8.278681879794808
7,2008-08,2013-08,2013-08,2014-08,6.635207707427648,6.635207707427648,8.903454561850364,0.7660498153227944,-6.567027377271836
8,2009-08,2014-08,2014-08,2015-08,-29.358204630728036,-29.358204630728036,17.867350595463357,-1.8544803789482889,-30.676267552617993
9,2010-08,2015-08,2015-08,2016-08,7.775595841048499,7.775595841048499,23.387831700782137,0.43654693975171366,-22.592671592530632
10,2011-08,2016-08,2016-08,2017-08,-1.5933085504673317,-1.5933085504673317,13.09649434646745,-0.05748139496651172,-11.084884218028652
11,2012-08,2017-08,2017-08,2018-08,13.20094699556098,13.20094699556098,13.597357790816492,0.9800364211201961,-11.070969753806894
12,2013-08,2018-08,2018-08,2019-08,-6.195259393187946,-6.195259393187946,16.865402485957357,-0.29491660846302054,-24.41955478199137
13,2014-08,2019-08,2019-08,2020-08,-21.974042781607505,-21.974042781607505,42.651434399979664,-0.36300623877653043,-53.22968166504602
14,2015-08,2020-08,2020-08,2021-08,21.803281450936908,21.803281450936908,25.01089471533079,0.9124972498407857,-18.045058378897068
15,2016-08,2021-08,2021-08,2022-08,41.77020726296379,41.77020726296379,25.72133931098351,1.4867223397209304,-19.488518631733793
16,2017-08,2022-08,2022-08,2023-08,1.0490470799408014,1.0490470799408014,21.630025704843504,0.1560594816624042,-15.38910235257975
17,2018-08,2023-08,2023-08,2024-08,-0.4703736430691552,-0.4703736430691552,15.004305731730788,0.043266284012488165,-14.534235670700223
